Year,LGA,index,Count,Median House Price
2013,Boroondara,17886,1680,1161
2013,Brimbank,17890,230,818
2013,Buloke,17894,0,0
2013,Campaspe,17898,57,506
2013,Cardinia,17902,7,230
2013,Casey,17906,61,890
2013,Central Goldfields,17910,0,0
2013,Colac-Otway,17914,31,675
2013,Corangamite,17918,5,120
2013,Darebin,17922,1276,1070
2013,East Gippsland,17926,46,626
2013,Frankston,17930,258,813
2013,Gannawarra,17934,5,120
2013,Glen Eira,17938,1876,1070
2013,Glenelg,17942,21,433
2013,Golden Plains,17946,0,0
2013,Greater Bendigo,17950,141,654
2013,Greater Dandenong,17954,465,840
2013,Greater Geelong,17958,673,780
2013,Greater Shepparton,17962,119,560
2013,Hepburn,17966,0,0
2013,Hindmarsh,17970,12,155
2013,Hobsons Bay,17974,205,988
2013,Horsham,17978,38,637
2013,Hume,17982,100,843
2013,Indigo,17986,0,0
2013,Kingston,17990,508,1050
2013,Knox,17994,64,963
2013,Latrobe,17998,212,483
2013,Loddon,18002,0,0
2013,Macedon Ranges,18006,19,590
2013,Manningham,18010,118,1330
2013,Mansfield,18014,0,0
2013,Maribyrnong,18018,842,949
2013,Maroondah,18022,85,995
2013,Melbourne,18026,8961,1460
2013,Melton,18030,25,878
2013,Mildura,18034,90,566
2013,Mitchell,18038,20,458
2013,Moira,18042,67,465
2013,Monash,18046,537,1023
2013,Moonee Valley,18050,753,1050
2013,Moorabool,18054,5,175
2013,Moreland,18058,1417,1100
2013,Mornington Penin'a,18062,86,844
2013,Mount Alexander,18066,0,0
2013,Moyne,18070,0,0
2013,Murrindindi,18074,0,0
2013,Nillumbik,18078,8,220
2013,Northern Grampians,18082,17,355
2013,Port Phillip,18086,3364,1349
2013,Pyrenees,18090,0,0
2013,Queenscliffe,18094,0,0
2013,South Gippsland,18098,23,485
2013,Southern Grampians,18102,34,560
2013,Stonnington,18106,3769,1290
2013,Strathbogie,18110,18,470
2013,Surf Coast,18114,23,685
2013,Swan Hill,18118,76,518
2013,Towong,18122,0,0
2013,Wangaratta,18126,83,560
2013,Warrnambool,18130,84,660
2013,Wellington,18134,86,591
2013,West Wimmera,18138,0,0
2013,Whitehorse,18142,767,990
2013,Whittlesea,18146,97,1075
2013,Wodonga,18150,59,670
2013,Wyndham,18154,44,835
2013,Yarra,18158,1787,1355
2013,Yarra Ranges,18162,127,870
2013,Yarriambiack,18166,0,0
2014,Alpine,19118,10,310
2014,Ararat,19122,0,0
2014,Ballarat,19126,318,630
2014,Banyule,19130,396,1031
2014,Bass Coast,19134,9,230
2014,Baw Baw,19138,32,628
2014,Bayside,19142,222,1310
2014,Benalla,19146,41,580
2014,Boroondara,19150,1820,1190
2014,Brimbank,19154,205,820
2014,Buloke,19158,0,0
2014,Campaspe,19162,35,395
2014,Cardinia,19166,11,330
2014,Casey,19170,95,977
2014,Central Goldfields,19174,0,0
2014,Colac-Otway,19178,47,720
2014,Corangamite,19182,0,0
2014,Darebin,19186,1166,1090
2014,East Gippsland,19190,54,655
2014,Frankston,19194,303,896
2014,Gannawarra,19198,0,0
2014,Glen Eira,19202,1807,1082
2014,Glenelg,19206,16,320
2014,Golden Plains,19210,0,0
2014,Greater Bendigo,19214,126,672
2014,Greater Dandenong,19218,456,885
2014,Greater Geelong,19222,638,810
2014,Greater Shepparton,19226,94,613
2014,Hepburn,19230,5,225
2014,Hindmarsh,19234,0,0
2014,Hobsons Bay,19238,207,1025
2014,Horsham,19242,39,834
2014,Hume,19246,83,906
2014,Indigo,19250,0,0
2014,Kingston,19254,440,1073
2014,Knox,19258,76,970
2014,Latrobe,19262,214,503
2014,Loddon,19266,0,0
2014,Macedon Ranges,19270,0,0
2014,Manningham,19274,100,1380
2014,Mansfield,19278,0,0
2014,Maribyrnong,19282,911,994
2014,Maroondah,19286,92,1020
2014,Melbourne,19290,10019,1460
2014,Melton,19294,46,1213
2014,Mildura,19298,130,655
2014,Mitchell,19302,14,310
2014,Moira,19306,55,456
2014,Monash,19310,596,1133
2014,Moonee Valley,19314,734,1100
2014,Moorabool,19318,15,470
2014,Moreland,19322,1554,1155
2014,Mornington Penin'a,19326,55,928
2014,Mount Alexander,19330,6,210
2014,Moyne,19334,0,0
2014,Murrindindi,19338,0,0
2014,Nillumbik,19342,6,200
2014,Northern Grampians,19346,21,425
2014,Port Phillip,19350,3124,1350
2014,Pyrenees,19354,0,0
2014,Queenscliffe,19358,0,0
2014,South Gippsland,19362,16,483
2014,Southern Grampians,19366,14,260
2014,Stonnington,19370,3583,1305
2014,Strathbogie,19374,16,331
2014,Surf Coast,19378,26,688
2014,Swan Hill,19382,71,535
2014,Towong,19386,5,110
2014,Wangaratta,19390,65,598
2014,Warrnambool,19394,94,750
2014,Wellington,19398,86,625
2014,West Wimmera,19402,0,0
2014,Whitehorse,19406,900,950
2014,Whittlesea,19410,113,1085
2014,Wodonga,19414,62,688
2014,Wyndham,19418,57,993
2014,Yarra,19422,2169,1390
2014,Yarra Ranges,19426,130,917
2014,Yarriambiack,19430,0,0
2015,Alpine,20382,0,0
2015,Ararat,20386,0,0
2015,Ballarat,20390,297,663
2015,Banyule,20394,409,1069
2015,Bass Coast,20398,23,629
2015,Baw Baw,20402,32,515
2015,Bayside,20406,307,1263
2015,Benalla,20410,38,595
2015,Boroondara,20414,1944,1260
2015,Brimbank,20418,244,852
2015,Buloke,20422,0,0
2015,Campaspe,20426,49,605
2015,Cardinia,20430,8,220
2015,Casey,20434,83,1001
2015,Central Goldfields,20438,0,0
2015,Colac-Otway,20442,43,703
2015,Corangamite,20446,6,123
2015,Darebin,20450,1345,1130
2015,East Gippsland,20454,46,680
2015,Frankston,20458,372,898
2015,Gannawarra,20462,0,0
2015,Glen Eira,20466,1864,1106
2015,Glenelg,20470,27,616
2015,Golden Plains,20474,0,0
2015,Greater Bendigo,20478,123,660
2015,Greater Dandenong,20482,561,915
2015,Greater Geelong,20486,658,825
2015,Greater Shepparton,20490,128,661
2015,Hepburn,20494,0,0
2015,Hindmarsh,20498,10,230
2015,Hobsons Bay,20502,197,1075
2015,Horsham,20506,42,771
2015,Hume,20510,93,948
2015,Indigo,20514,5,145
2015,Kingston,20518,469,1108
2015,Knox,20522,132,1128
2015,Latrobe,20526,208,580
2015,Loddon,20530,0,0
2015,Macedon Ranges,20534,27,780
2015,Manningham,20538,146,1415
2015,Mansfield,20542,0,0
2015,Maribyrnong,20546,940,1009
2015,Maroondah,20550,94,1111
2015,Melbourne,20554,11718,1475
2015,Melton,20558,43,1221
2015,Mildura,20562,111,665
2015,Mitchell,20566,14,320
2015,Moira,20570,43,513
2015,Monash,20574,636,1181
2015,Moonee Valley,20578,874,1138
2015,Moorabool,20582,22,580
2015,Moreland,20586,1511,1150
2015,Mornington Penin'a,20590,83,955
2015,Mount Alexander,20594,5,200
2015,Moyne,20598,0,0
2015,Murrindindi,20602,0,0
2015,Nillumbik,20606,30,715
2015,Northern Grampians,20610,31,474
2015,Port Phillip,20614,3214,1380
2015,Pyrenees,20618,0,0
2015,Queenscliffe,20622,0,0
2015,South Gippsland,20626,15,315
2015,Southern Grampians,20630,26,407
2015,Stonnington,20634,3911,1360
2015,Strathbogie,20638,17,548
2015,Surf Coast,20642,23,650
2015,Swan Hill,20646,61,540
2015,Towong,20650,0,0
2015,Wangaratta,20654,54,616
2015,Warrnambool,20658,83,773
2015,Wellington,20662,103,650
2015,West Wimmera,20666,0,0
2015,Whitehorse,20670,909,1010
2015,Whittlesea,20674,138,1093
2015,Wodonga,20678,54,711
2015,Wyndham,20682,60,993
2015,Yarra,20686,2348,1420
